index,dataset,backbone,stage,result_name,log_file,command,return_code,elapsed_seconds,lr,weight_decay,dropout,hidden_channels,K,lambda_fd,lambda_spu,lambda_ind,context_gate_temp,fd_blend,lambda_med,highest_train,highest_train_std,highest_valid,highest_valid_std,highest_in_test,highest_in_test_std,final_train,final_train_std,final_in_test,final_in_test_std,highest_ood_test_1,highest_ood_test_1_std,final_ood_test_1,final_ood_test_1_std,last_final_ood_test
11,pubmed,gcn,stage2,pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.05_lambda_ind0.05_context_gate_temp1.0_fd_blend0.7_lambda_med0.25,search_logs_frontdoor/pubmed/gcn/stage2/011_pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.05_lambda_ind0.05_context_gate_temp1.0_fd_blend0.7_lambda_med0.25.log,python main_frontdoor.py --dataset pubmed --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.005 --weight_decay 5e-05 --dropout 0.2 --hidden_channels 64 --K 2 --lambda_fd 0.5 --lambda_spu 0.05 --lambda_ind 0.05 --context_gate_temp 1.0 --fd_blend 0.7 --lambda_med 0.25 --result_name pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.05_lambda_ind0.05_context_gate_temp1.0_fd_blend0.7_lambda_med0.25,0,97.01,0.005,5e-05,0.2,64,2,0.5,0.05,0.05,1.0,0.7,0.25,99.98,0.01,97.73,0.01,97.67,0.08,99.97,0.02,97.54,0.14,92.63,0.09,89.26,0.29,89.26
12,pubmed,gcn,stage2,pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.05_lambda_ind0.05_context_gate_temp1.0_fd_blend0.7_lambda_med0.5,search_logs_frontdoor/pubmed/gcn/stage2/012_pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.05_lambda_ind0.05_context_gate_temp1.0_fd_blend0.7_lambda_med0.5.log,python main_frontdoor.py --dataset pubmed --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.005 --weight_decay 5e-05 --dropout 0.2 --hidden_channels 64 --K 2 --lambda_fd 0.5 --lambda_spu 0.05 --lambda_ind 0.05 --context_gate_temp 1.0 --fd_blend 0.7 --lambda_med 0.5 --result_name pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.05_lambda_ind0.05_context_gate_temp1.0_fd_blend0.7_lambda_med0.5,0,94.25,0.005,5e-05,0.2,64,2,0.5,0.05,0.05,1.0,0.7,0.5,99.99,0.0,97.67,0.11,97.58,0.17,99.98,0.0,97.52,0.25,93.56,0.89,89.9,2.82,89.9
13,pubmed,gcn,stage2,pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.05_lambda_ind0.1_context_gate_temp0.5_fd_blend0.3_lambda_med0.25,search_logs_frontdoor/pubmed/gcn/stage2/013_pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.05_lambda_ind0.1_context_gate_temp0.5_fd_blend0.3_lambda_med0.25.log,python main_frontdoor.py --dataset pubmed --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.005 --weight_decay 5e-05 --dropout 0.2 --hidden_channels 64 --K 2 --lambda_fd 0.5 --lambda_spu 0.05 --lambda_ind 0.1 --context_gate_temp 0.5 --fd_blend 0.3 --lambda_med 0.25 --result_name pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.05_lambda_ind0.1_context_gate_temp0.5_fd_blend0.3_lambda_med0.25,0,152.16,0.005,5e-05,0.2,64,2,0.5,0.05,0.1,0.5,0.3,0.25,99.98,0.0,97.66,0.06,97.52,0.05,99.98,0.0,97.43,0.11,93.57,0.34,88.87,1.07,88.87
14,pubmed,gcn,stage2,pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.05_lambda_ind0.1_context_gate_temp0.5_fd_blend0.3_lambda_med0.5,search_logs_frontdoor/pubmed/gcn/stage2/014_pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.05_lambda_ind0.1_context_gate_temp0.5_fd_blend0.3_lambda_med0.5.log,python main_frontdoor.py --dataset pubmed --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.005 --weight_decay 5e-05 --dropout 0.2 --hidden_channels 64 --K 2 --lambda_fd 0.5 --lambda_spu 0.05 --lambda_ind 0.1 --context_gate_temp 0.5 --fd_blend 0.3 --lambda_med 0.5 --result_name pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.05_lambda_ind0.1_context_gate_temp0.5_fd_blend0.3_lambda_med0.5,0,126.4,0.005,5e-05,0.2,64,2,0.5,0.05,0.1,0.5,0.3,0.5,99.99,0.0,97.68,0.1,97.63,0.01,99.98,0.01,97.53,0.01,93.17,0.32,90.51,0.12,90.51
15,pubmed,gcn,stage2,pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.05_lambda_ind0.1_context_gate_temp0.5_fd_blend0.5_lambda_med0.25,search_logs_frontdoor/pubmed/gcn/stage2/015_pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.05_lambda_ind0.1_context_gate_temp0.5_fd_blend0.5_lambda_med0.25.log,python main_frontdoor.py --dataset pubmed --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.005 --weight_decay 5e-05 --dropout 0.2 --hidden_channels 64 --K 2 --lambda_fd 0.5 --lambda_spu 0.05 --lambda_ind 0.1 --context_gate_temp 0.5 --fd_blend 0.5 --lambda_med 0.25 --result_name pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.05_lambda_ind0.1_context_gate_temp0.5_fd_blend0.5_lambda_med0.25,0,149.89,0.005,5e-05,0.2,64,2,0.5,0.05,0.1,0.5,0.5,0.25,99.99,0.01,97.65,0.02,97.59,0.24,99.97,0.01,97.43,0.25,93.19,1.01,90.72,1.15,90.72
16,pubmed,gcn,stage2,pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.05_lambda_ind0.1_context_gate_temp0.5_fd_blend0.5_lambda_med0.5,search_logs_frontdoor/pubmed/gcn/stage2/016_pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.05_lambda_ind0.1_context_gate_temp0.5_fd_blend0.5_lambda_med0.5.log,python main_frontdoor.py --dataset pubmed --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.005 --weight_decay 5e-05 --dropout 0.2 --hidden_channels 64 --K 2 --lambda_fd 0.5 --lambda_spu 0.05 --lambda_ind 0.1 --context_gate_temp 0.5 --fd_blend 0.5 --lambda_med 0.5 --result_name pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.05_lambda_ind0.1_context_gate_temp0.5_fd_blend0.5_lambda_med0.5,0,117.75,0.005,5e-05,0.2,64,2,0.5,0.05,0.1,0.5,0.5,0.5,99.99,0.0,97.57,0.02,97.52,0.11,99.98,0.01,97.42,0.09,93.62,0.31,89.92,2.28,89.92
17,pubmed,gcn,stage2,pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.05_lambda_ind0.1_context_gate_temp0.5_fd_blend0.7_lambda_med0.25,search_logs_frontdoor/pubmed/gcn/stage2/017_pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.05_lambda_ind0.1_context_gate_temp0.5_fd_blend0.7_lambda_med0.25.log,python main_frontdoor.py --dataset pubmed --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.005 --weight_decay 5e-05 --dropout 0.2 --hidden_channels 64 --K 2 --lambda_fd 0.5 --lambda_spu 0.05 --lambda_ind 0.1 --context_gate_temp 0.5 --fd_blend 0.7 --lambda_med 0.25 --result_name pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.05_lambda_ind0.1_context_gate_temp0.5_fd_blend0.7_lambda_med0.25,0,96.04,0.005,5e-05,0.2,64,2,0.5,0.05,0.1,0.5,0.7,0.25,99.99,0.0,97.59,0.05,97.68,0.09,99.98,0.0,97.55,0.07,92.8,0.31,88.62,0.17,88.62
18,pubmed,gcn,stage2,pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.05_lambda_ind0.1_context_gate_temp0.5_fd_blend0.7_lambda_med0.5,search_logs_frontdoor/pubmed/gcn/stage2/018_pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.05_lambda_ind0.1_context_gate_temp0.5_fd_blend0.7_lambda_med0.5.log,python main_frontdoor.py --dataset pubmed --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.005 --weight_decay 5e-05 --dropout 0.2 --hidden_channels 64 --K 2 --lambda_fd 0.5 --lambda_spu 0.05 --lambda_ind 0.1 --context_gate_temp 0.5 --fd_blend 0.7 --lambda_med 0.5 --result_name pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.05_lambda_ind0.1_context_gate_temp0.5_fd_blend0.7_lambda_med0.5,0,95.15,0.005,5e-05,0.2,64,2,0.5,0.05,0.1,0.5,0.7,0.5,99.99,0.0,97.58,0.09,97.61,0.07,99.98,0.0,97.55,0.13,92.87,0.72,89.26,1.83,89.26
19,pubmed,gcn,stage2,pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.05_lambda_ind0.1_context_gate_temp1.0_fd_blend0.3_lambda_med0.25,search_logs_frontdoor/pubmed/gcn/stage2/019_pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.05_lambda_ind0.1_context_gate_temp1.0_fd_blend0.3_lambda_med0.25.log,python main_frontdoor.py --dataset pubmed --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.005 --weight_decay 5e-05 --dropout 0.2 --hidden_channels 64 --K 2 --lambda_fd 0.5 --lambda_spu 0.05 --lambda_ind 0.1 --context_gate_temp 1.0 --fd_blend 0.3 --lambda_med 0.25 --result_name pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.05_lambda_ind0.1_context_gate_temp1.0_fd_blend0.3_lambda_med0.25,0,96.32,0.005,5e-05,0.2,64,2,0.5,0.05,0.1,1.0,0.3,0.25,99.98,0.01,97.71,0.09,97.52,0.11,99.97,0.01,97.45,0.01,93.88,0.52,91.2,1.45,91.2
20,pubmed,gcn,stage2,pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.05_lambda_ind0.1_context_gate_temp1.0_fd_blend0.3_lambda_med0.5,search_logs_frontdoor/pubmed/gcn/stage2/020_pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.05_lambda_ind0.1_context_gate_temp1.0_fd_blend0.3_lambda_med0.5.log,python main_frontdoor.py --dataset pubmed --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.005 --weight_decay 5e-05 --dropout 0.2 --hidden_channels 64 --K 2 --lambda_fd 0.5 --lambda_spu 0.05 --lambda_ind 0.1 --context_gate_temp 1.0 --fd_blend 0.3 --lambda_med 0.5 --result_name pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.05_lambda_ind0.1_context_gate_temp1.0_fd_blend0.3_lambda_med0.5,0,97.27,0.005,5e-05,0.2,64,2,0.5,0.05,0.1,1.0,0.3,0.5,99.99,0.0,97.57,0.05,97.57,0.05,99.99,0.0,97.54,0.08,93.01,0.71,91.47,1.43,91.47
